Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2024,AL
Complete Games,Kevin Gausman,Toronto,2,Top 25,2024,AL
ERA,Tarik Skubal,Detroit,2.39,Top 25,2024,AL
Games,T.J. McFarland,Oakland,79,Top 25,2024,AL
Saves,Emmanuel Clase,Cleveland,47,Top 25,2024,AL
Shutouts,Ronel Blanco,Houston,1,Top 25,2024,AL
Strikeouts,Tarik Skubal,Detroit,228,Top 25,2024,AL
Winning Percentage,Tarik Skubal,Detroit,.818,Top 25,2024,AL
Wins,Tarik Skubal,Detroit,18,Top 25,2024,AL
Statistic,Name,Team,#,Top 25,2024,AL
