Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2023,NL
Base on Balls,Juan Soto,San Diego Padres,132,Top 25,2023,NL
Batting Average,Luis Arraez,Miami Marlins,.354,Top 25,2023,NL
Doubles,Freddie Freeman,Los Angeles Dodgers,59,Top 25,2023,NL
Hits,Ronald Acuña Jr.,Atlanta Braves,217,Top 25,2023,NL
Home Runs,Matt Olson,Atlanta Braves,54,Top 25,2023,NL
On Base Percentage,Ronald Acuña Jr.,Atlanta Braves,.416,Top 25,2023,NL
RBI,Matt Olson,Atlanta Braves,139,Top 25,2023,NL
Runs,Ronald Acuña Jr.,Atlanta Braves,149,Top 25,2023,NL
Slugging Average,Matt Olson,Atlanta Braves,.604,Top 25,2023,NL
Stolen Bases,Ronald Acuña Jr.,Atlanta Braves,73,Top 25,2023,NL
Total Bases,Ronald Acuña Jr.,Atlanta Braves,383,Top 25,2023,NL
Triples,Corbin Carroll,Arizona Diamondbacks,10,Top 25,2023,NL
Statistic,Name,Team,#,Top 25,2023,NL
