Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2023,AL
Base on Balls,J.P. Crawford,Seattle Mariners,94,Top 25,2023,AL
Batting Average,Yandy Díaz,Tampa Bay Rays,.330,Top 25,2023,AL
Doubles,Corey Seager,Texas Rangers,42,Top 25,2023,AL
Hits,Marcus Semien,Texas Rangers,185,Top 25,2023,AL
Home Runs,Shohei Ohtani,Los Angeles Angels,44,Top 25,2023,AL
On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,Top 25,2023,AL
RBI,Kyle Tucker,Houston Astros,112,Top 25,2023,AL
Runs,Marcus Semien,Texas Rangers,122,Top 25,2023,AL
Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,Top 25,2023,AL
Stolen Bases,Esteury Ruiz,Oakland Athletics,67,Top 25,2023,AL
Total Bases,Shohei Ohtani,Los Angeles Angels,325,Top 25,2023,AL
Triples,Bobby Witt Jr.,Kansas City Royals,11,Top 25,2023,AL
Statistic,Name,Team,#,Top 25,2023,AL
