Statistic,Name,Team,Value,Year,League
Complete Games,Max Fried,Atlanta,2.0,2024,NL
ERA,Chris Sale,Atlanta,2.38,2024,NL
Games,Tyler Rogers,San Francisco,77.0,2024,NL
Saves,Ryan Helsley,St. Louis,49.0,2024,NL
Shutouts,Dylan Cease,San Diego,1.0,2024,NL
Strikeouts,Chris Sale,Atlanta,225.0,2024,NL
Winning Percentage,Chris Sale,Atlanta,0.857,2024,NL
Wins,Chris Sale,Atlanta,18.0,2024,NL
