Statistic,Name,Team,Value,Year,League
Complete Games,Kevin Gausman,Toronto,2.0,2024,AL
ERA,Tarik Skubal,Detroit,2.39,2024,AL
Games,T.J. McFarland,Oakland,79.0,2024,AL
Saves,Emmanuel Clase,Cleveland,47.0,2024,AL
Shutouts,Ronel Blanco,Houston,1.0,2024,AL
Strikeouts,Tarik Skubal,Detroit,228.0,2024,AL
Winning Percentage,Tarik Skubal,Detroit,0.818,2024,AL
Wins,Tarik Skubal,Detroit,18.0,2024,AL
