Statistic,Name,Team,Value,Year,League
Complete Games,Jordan Lyles,Kansas City Royals,3.0,2023,AL
ERA,Gerrit Cole,New York Yankees,2.63,2023,AL
Games,Matt Brash,Seattle Mariners,78.0,2023,AL
Saves,Emmanuel Clase,Cleveland Guardians,44.0,2023,AL
Shutouts,Gerrit Cole,New York Yankees,2.0,2023,AL
Strikeouts,Kevin Gausman,Toronto Blue Jays,237.0,2023,AL
Winning Percentage,Gerrit Cole,New York Yankees,0.789,2023,AL
Wins,Chris Bassitt,Toronto Blue Jays,16.0,2023,AL
