Statistic,Name,Team,Value,Year,League
Base on Balls,Aaron Judge,New York,133.0,2024,AL
Batting Average,Bobby Witt Jr.,Kansas City,0.332,2024,AL
Doubles,Jarren Duran,Boston,48.0,2024,AL
Hits,Bobby Witt Jr.,Kansas City,211.0,2024,AL
Home Runs,Aaron Judge,New York,58.0,2024,AL
On Base Percentage,Aaron Judge,New York,0.458,2024,AL
RBI,Aaron Judge,New York,144.0,2024,AL
Runs,Juan Soto,New York,128.0,2024,AL
Slugging Average,Aaron Judge,New York,0.701,2024,AL
Stolen Bases,Jose Caballero,Tampa Bay,44.0,2024,AL
Total Bases,Aaron Judge,New York,392.0,2024,AL
Triples,Jarren Duran,Boston,14.0,2024,AL
