Statistic,Name,Team,Value,Year,League
Complete Games,Sandy Alcantara,Miami Marlins,3.0,2023,NL
ERA,Blake Snell,San Diego Padres,2.25,2023,NL
Games,Miguel Castro,Arizona Diamondbacks,75.0,2023,NL
Saves,David Bednar,Pittsburgh Pirates,39.0,2023,NL
Shutouts,Sandy Alcantara,Miami Marlins,1.0,2023,NL
Strikeouts,Spencer Strider,Atlanta Braves,281.0,2023,NL
Winning Percentage,Spencer Strider,Atlanta Braves,0.8,2023,NL
Wins,Spencer Strider,Atlanta Braves,20.0,2023,NL
